time,veh_u,veh_v,model_LSTM_lon_2139.pt
14.65,25.65124,0.0,25.64876937866211
14.66,25.60638,0.0,25.60201072692871
14.67,25.5612,0.0,25.555343627929688
14.68,25.51569,0.0,25.508190155029297
14.69,25.46982,0.0,25.460620880126953
14.7,25.43275,0.0,25.41327476501465
14.71,25.37692,0.0,25.364259719848633
14.72,25.32986,0.0,25.314699172973633
14.73,25.28238,0.0,25.264759063720703
14.74,25.23448,0.0,25.21333122253418
14.75,25.18615,0.0,25.161832809448242
14.76,25.1374,0.0,25.111597061157227
14.77,25.08822,0.0,25.06016731262207
14.78,25.04848,0.0,25.0089168548584
14.79,24.99856,0.0,24.958110809326172
14.8,24.93834,0.0,24.90567398071289
14.81,24.88766,0.0,24.85324478149414
14.82,24.83664,0.0,24.801578521728516
14.83,24.78531,0.0,24.749540328979492
14.84,24.73373,0.0,24.697853088378906
14.85,24.6819,0.0,24.64739227294922
14.86,24.62986,0.0,24.596506118774414
14.87,24.58799,0.0,24.54610824584961
14.88,24.5253,0.0,24.496458053588867
14.89,24.47283,0.0,24.44636344909668
14.9,24.4203,0.0,24.39633560180664
14.91,24.36773,0.0,24.346904754638672
14.92,24.31514,0.0,24.297555923461914
14.93,24.26259,0.0,24.248510360717773
14.94,24.21008,0.0,24.20039939880371
14.95,24.16801,0.0,24.15220069885254
14.96,24.10535,0.0,24.10509490966797
14.97,24.05317,0.0,24.05838966369629
14.98,24.00116,0.0,24.01177978515625
14.99,23.94932,0.0,23.965551376342773
15.0,23.89768,0.0,23.919601440429688
15.01,23.84625,0.0,23.873640060424805
15.02,23.79504,0.0,23.82794189453125
15.03,23.75412,0.0,23.7827091217041
15.04,23.70334,0.0,23.737964630126953
15.05,23.64286,0.0,23.693164825439453
